01, 12, 13, 11, 12, 22, 23, 21, 22, 457, 492, 427, 455
02, 11, 11, 11, 11, 24, 28, 23, 24, 449, 473, 427, 449
03, 10, 11, 10, 10, 26, 28, 26, 26, 449, 482, 430, 449
04, 10, 11, 9, 10, 27, 28, 27, 27, 484, 518, 455, 485
05, 14, 21, 10, 13, 30, 34, 28, 31, 530, 663, 458, 523
06, 16, 22, 13, 17, 30, 34, 22, 30, 553, 772, 459, 542
07, 17, 20, 15, 17, 21, 34, 8, 27, 509, 619, 451, 507
08, 16, 18, 14, 17, 15, 20, 13, 15, 501, 585, 432, 501
09, 16, 21, 13, 16, 14, 17, 8, 16, 524, 730, 437, 505
10, 13, 20, 12, 12, 16, 18, 13, 17, 474, 591, 429, 461
11, 12, 17, 9, 12, 18, 24, 16, 18, 487, 600, 443, 471
12, 14, 22, 11, 12, 24, 35, 18, 20, 542, 830, 460, 521
13, 17, 24, 12, 18, 25, 31, 21, 27, 567, 772, 493, 547
14, 17, 21, 15, 18, 26, 31, 22, 25, 614, 763, 521, 608
15, 17, 21, 14, 17, 29, 41, 24, 26, 581, 747, 494, 557
16, 18, 22, 16, 18, 29, 35, 19, 31, 557, 663, 494, 547
17, 15, 20, 14, 15, 24, 27, 22, 24, 473, 585, 439, 462
18, 15, 21, 13, 14, 27, 33, 18, 28, 507, 709, 440, 470
19, 16, 23, 14, 16, 21, 26, 13, 23, 524, 677, 449, 510
20, 15, 18, 13, 16, 17, 22, 13, 19, 496, 579, 443, 486
21, 17, 21, 13, 17, 21, 26, 19, 20, 599, 753, 474, 597
22, 18, 22, 15, 18, 22, 25, 19, 22, 615, 880, 500, 619
23, 16, 21, 14, 16, 28, 32, 23, 29, 572, 753, 458, 576
24, 13, 14, 12, 13, 34, 41, 32, 33, 471, 576, 429, 456
25, 14, 19, 12, 13, 34, 43, 24, 37, 502, 680, 447, 493
26, 16, 22, 14, 16, 31, 34, 29, 32, 596, 820, 506, 586
27, 18, 21, 15, 20, 28, 35, 18, 32, 527, 634, 451, 526
28, 16, 21, 14, 17, 29, 41, 19, 26, 508, 684, 446, 493
29, 15, 18, 13, 15, 23, 31, 11, 29, 523, 637, 450, 515
30, 16, 20, 14, 16, 17, 20, 13, 18, 554, 803, 446, 532
31, 14, 18, 13, 14, 19, 21, 16, 19, 517, 613, 453, 509
