01, 20, 23, 18, 21, 31, 44, 25, 30, 521, 619, 467, 526
02, 21, 24, 18, 22, 32, 38, 27, 31, 549, 679, 479, 551
03, 19, 22, 17, 19, 38, 47, 35, 37, 524, 762, 457, 520
04, 19, 22, 17, 19, 30, 39, 18, 34, 518, 646, 468, 508
05, 16, 19, 15, 17, 37, 51, 24, 38, 497, 666, 457, 487
06, 16, 18, 15, 16, 37, 41, 37, 38, 496, 630, 455, 482
07, 17, 23, 14, 18, 36, 39, 27, 38, 547, 676, 466, 535
08, 19, 23, 17, 19, 32, 38, 26, 34, 540, 663, 470, 542
09, 20, 25, 18, 20, 31, 42, 26, 32, 515, 600, 446, 508
10, 18, 22, 17, 19, 34, 46, 29, 32, 534, 716, 458, 528
11, 19, 22, 17, 19, 37, 39, 34, 38, 566, 740, 507, 547
12, 19, 22, 18, 20, 37, 44, 32, 37, 566, 733, 490, 553
13, 18, 20, 17, 18, 37, 38, 36, 37, 495, 685, 443, 477
14, 17, 20, 16, 17, 34, 38, 31, 34, 480, 535, 438, 477
15, 15, 16, 15, 15, 29, 33, 27, 29, 464, 502, 437, 464
16, 15, 19, 13, 14, 22, 27, 13, 26, 477, 589, 438, 468
