01, 25, 27, 25, 26, 57, 65, 46, 58, 507, 681, 458, 506
02, 25, 27, 25, 26, 59, 74, 48, 55, 554, 717, 459, 565
03, 24, 26, 24, 25, 61, 72, 48, 61, 528, 612, 481, 524
04, 24, 25, 24, 25, 56, 65, 42, 57, 514, 714, 457, 503
05, 24, 26, 24, 25, 57, 71, 48, 57, 510, 582, 467, 501
06, 24, 25, 24, 25, 50, 59, 45, 50, 467, 569, 432, 456
07, 24, 26, 24, 25, 56, 70, 47, 56, 509, 645, 438, 512
08, 24, 26, 24, 25, 56, 65, 49, 56, 518, 685, 455, 524
09, 25, 26, 24, 25, 54, 70, 45, 54, 536, 647, 457, 525
10, 25, 26, 25, 25, 56, 67, 49, 56, 515, 573, 467, 516
11, 25, 26, 25, 25, 53, 64, 45, 54, 540, 687, 468, 521
12, 25, 26, 24, 25, 55, 69, 47, 51, 504, 598, 462, 498
13, 24, 25, 24, 25, 48, 55, 45, 48, 463, 499, 432, 463
14, 25, 26, 24, 25, 53, 63, 46, 51, 543, 701, 429, 566
15, 25, 26, 24, 25, 53, 62, 47, 53, 525, 595, 482, 523
16, 25, 26, 24, 25, 53, 63, 47, 52, 526, 714, 457, 531
17, 25, 26, 24, 25, 53, 61, 46, 53, 540, 642, 479, 543
18, 25, 26, 25, 25, 55, 61, 46, 54, 507, 687, 457, 505
19, 25, 26, 25, 25, 53, 61, 45, 53, 504, 574, 462, 498
20, 25, 26, 25, 25, 45, 49, 42, 46, 473, 497, 449, 474
21, 25, 26, 24, 25, 49, 55, 45, 49, 508, 635, 450, 483
22, 24, 26, 24, 25, 51, 57, 46, 51, 523, 712, 463, 507
23, 24, 26, 24, 25, 55, 65, 47, 56, 541, 652, 477, 546
24, 24, 26, 24, 25, 55, 61, 51, 55, 499, 573, 464, 495
25, 24, 25, 24, 25, 60, 69, 53, 60, 504, 633, 448, 491
26, 24, 25, 24, 25, 60, 64, 59, 60, 558, 1028, 467, 521
27, 24, 25, 24, 24, 59, 63, 56, 59, 564, 931, 465, 521
28, 24, 26, 24, 25, 53, 64, 43, 51, 533, 598, 480, 534
29, 25, 26, 24, 25, 50, 53, 45, 49, 555, 898, 460, 491
30, 23, 25, 22, 24, 49, 55, 46, 48, 666, 1503, 453, 541
